source	target	action	severity	category	reason	origin_tags
호식이랑 후장박는거 합성하면 딱이겠노. 사랑의 비너스로 둘이 엮어주자이기.	(차단된 문장입니다)	1	5	LGBTQ/SLUR	[후장박는거] -> 노골적인 성적 표현 및 조롱으로 차단	악플/욕설
개독교 이제 얼마안남았다. 자멸할것이다.	개신교도 이제 얼마 남지 않았습니다. 자멸할 것입니다.	2	2	RELIGION	[개독교] -> 종교 비하어를 표준 명칭으로 순화	종교
지금 뭐하고 있으려나..........	지금 무엇을 하고 있을까요?	0	0	NORMAL	[무해] -> 일상적인 궁금함	clean
아니 시발... 기독교가 언제 이리 타락 했나?? 와 악마가 목표를 위해 교회를 간다고 하더만... 성공 했네..	기독교가 언제 이렇게 타락했습니까? 악마가 목적을 위해 교회에 간다고 하더니 정말 성공했네요.	2	2	RELIGION	[시발] -> 욕설을 제거하고 기독교 비판 뉘앙스 유지	종교
예수님 안 믿으면 지옥간다 기독교를 열심히 믿는 나라는 선진국 된다	예수님을 믿지 않으면 지옥에 갑니다. 기독교를 열심히 믿는 나라는 선진국이 됩니다.	0	0	RELIGION/NORMAL	[무해] -> 개인의 종교적 신념 및 주장	종교
탈북민은 망명 보내고 쯍국 조선족 빨갱이는 환영하고. 문재인은노무현2 ㄹㅇ	탈북민은 망명 보내고 중국 조선족은 환영하다니요. 문재인 대통령은 정말 노무현 대통령 시즌2 같습니다.	2	2	RACISM/COMMUNITY	[쯍국, 빨갱이] -> 국적 비하 및 이념적 멸칭 순화	인종/국적
한국인이 더짜증나는데 ㅋㅋㅋ 그냥 파퀴 존나 받아서 한국새끼들 존나 패버리고 동유럽 러시아 여자 존나 받아서 한국년들 꺼지라 해야됨	(차단된 문장입니다)	0	5	RACISM/GENDER	[Auto-Refine] 단순 유행어/일상어 판정으로 NORMAL 복구	인종/국적
하도 지랄스럽게 진화해와서 이제 저시절 된장녀들은 착해보인다ㅋㅋ	너무 심하게 변해와서 이제 그 시절 여성들이 오히려 낫게 보일 정도입니다.	0	2	GENDER	[Auto-Refine] 단순 유행어/일상어 판정으로 NORMAL 복구	여성/가족
가명을 알려주는게 불리하게 작용할 수도 있지 않나?가명을 썼다는거 자체가 성추행 또는 성폭행 의도가 있었다 라고 할 수도 있잖아	가명을 알려주는 것이 불리하게 작용할 수도 있지 않습니까? 가명을 썼다는 것 자체가 성범죄 의도가 있었다고 볼 수도 있으니까요.	0	0	NORMAL	[무해] -> 법적/사회적 상황에 대한 추론 및 의견	clean
아니 그래서 여자 랑 성관계한 게 독일인이야 아프카니스탄이아?? 뭔소리야	그래서 여성과 관계를 맺은 사람이 독일인입니까, 아니면 아프가니스탄인입니까? 무슨 말인지 모르겠네요.	2	1	NORMAL	[뭔소리야] -> 반말투를 정중하게 순화	clean
이 나라의 미래를 보려거든 고개를 들어 서두원을 보라	이 나라의 미래를 보려거든 고개를 들어 서두원 선수를 보십시오.	2	1	NORMAL	[보라] -> 명령조를 정중한 권유로 순화	clean
진주에서 터타타고왔는데 뭐 여자도없고 뭐 싹 남자밖에 없고 뭐 여기가 여의도? 아 서울 실망입니다 조금 미개한 쪽바리	진주에서 차를 타고 왔는데 여성은 없고 남성뿐이네요. 여기가 여의도입니까? 서울에 실망했습니다. 일본인은 조금 미개하네요.	2	3	RACISM/GENDER	[미개한 쪽바리] -> 국적 비하 표현 정순화	인종/국적, 지역
시발 개슬람대 짱깨전쟁하면 미국이랑 한국은 각각 누구편들게될까??	이슬람교와 중국이 전쟁을 한다면 미국과 한국은 각각 누구 편을 들게 될까요?	2	2	RACISM/RELIGION	[시발, 개슬람, 짱깨] -> 욕설 및 혐오 명칭을 공식 명칭으로 정제	인종/국적, 종교
남자에게 능력을 갖추라고 하는것이나 여자에게 예뻐지기 위해 노력하라는거나! 재밌게 살기 위해서는 둘다 맞는 말임	남성에게 능력을 갖추라고 하는 것이나 여성에게 예뻐지기 위해 노력하라고 하는 것이나, 즐겁게 살기 위해서는 둘 다 맞는 말입니다.	0	0	NORMAL	[무해] -> 성 역할에 대한 개인적 견해 표명	여성/가족, 남성
중국 짱개새끼들 이젠베트남으로 눈 돌리는 것 같더라중국하고 베트남 국경에 짱개 기공들 많이 몰렸다는 애기가 있다	중국 사람들이 이제는 베트남으로 눈을 돌리는 것 같습니다. 중국과 베트남 국경에 중국인 기술자들이 많이 몰렸다는 이야기가 있네요.	2	2	RACISM	[짱개새끼들, 짱개] -> 국적 비하어를 정당한 표현으로 순화	인종/국적
빨렙 되는순간 현실에서 도태되는거다	등급이 높아지는 순간 현실에서 멀어지는 것입니다.	2	1	COMMUNITY	[빨렙] -> 게임/커뮤니티 용어를 표준어적 표현으로 순화	악플/욕설
....니보지 허벌보지라는 생각은 안했노?	(차단된 문장입니다)	1	5	GENDER/SLUR	[니보지, 허벌보지] -> 여성 성기 비하 및 극단적 성희롱으로 차단	여성/가족
동성애를 양지로 이끌어 내는게 오히려 에이즈환자 착출에 도움이될듯	동성애를 사회적으로 수용하는 것이 오히려 에이즈 환자를 파악하는 데 도움이 될 것 같습니다.	2	1	LGBTQ	[착출] -> 단어 사용의 오류 및 LGBTQ 관련 민감한 표현 정제	성소수자
뚱땡이와 난쟁이 개그하노?	비만한 사람과 키가 작은 사람이 만담을 하는 것입니까?	2	2	SLUR	[뚱땡이, 난쟁이] -> 외모 비하어를 정중한 표현으로 순화	악플/욕설
이거 정말 허벌워추 696969개 박고싶은 띵문이노 특히 라도남들 조심해라 쌍도남들이 대놓고 여혐질하면 라도남은 겉으론 여자 이해해주는척	이것은 정말 가슴 깊이 공감되는 훌륭한 글입니다. 특히 전라도 남성들을 조심하십시오. 경상도 남성들이 직접적으로 여성 혐오를 한다면 전라도 남성들은 겉으로만 여성을 이해해주는 척합니다.	2	3	COMMUNITY/REGIONAL	[허벌워추, 띵문, 라도남, 쌍도남] -> 커뮤니티 은어 및 지역 비하어 순화	남성, 지역
급식충들 자기네집인줄 알고 있던 집이 알고보니 근저당권 도배되어 있는줄은 꿈에도 모를듯 ㅎㅎ 수도권 대출 안낀 집이 얼마나 되겠노?	학생들은 자기 집인 줄 알았던 곳에 근저당권이 설정되어 있는 줄은 모를 것입니다. 수도권에 대출 없는 집이 얼마나 되겠습니까?	2	2	AGE/COMMUNITY	[급식충들, ~노] -> 연령 비하어 및 커뮤니티 종결어미 순화	연령
아 진짜 존나 싫다 시발	아, 정말로 매우 싫습니다.	2	2	SLUR	[존나, 시발] -> 욕설 및 비속어를 정중한 표현으로 순화	악플/욕설
진짜 염병떤다 페미들은 그냥 다른데서 살아라.. 어디 무인도에 니들끼리 쿵짝 맞춰가며 살아	정말 소란스럽네요. 페미니스트들은 그냥 다른 곳에서 사십시오. 무인도 같은 곳에서 여러분끼리 어울리며 지내세요.	2	2	GENDER	[염병떤다, 니들끼리] -> 비속어 및 공격적 표현을 정중하게 순화	여성/가족
남자들 아랫돌 단속을 어려서부터 잘해야지 함부로 내돌리다 남의 귀한딸 일생을 망치는구나	남성들은 어려서부터 정조를 잘 지켜야 합니다. 함부로 행동하다가 남의 귀한 딸의 인생을 망치는군요.	2	2	GENDER	[아랫돌 단속, 내돌리다] -> 성적인 비유 표현을 정중하게 순화	남성
크리스천들은 거기서 거기지 오십보백보인 새끼들이 무슨 천주교니 개신교니서로 욕하고 따지고 잇는 모습을 보면 참 기도 안찬다 ㅋㅋㅋ ㄹㅇ 도찐개찐	그리스도교인들은 서로 비슷합니다. 천주교와 개신교로 나뉘어 서로를 비난하는 모습을 보니 정말 어이가 없네요. 정말 비슷합니다.	0	2	RELIGION	[Auto-Refine] 단순 유행어/일상어 판정으로 NORMAL 복구	종교
퀴어는 무슨. 씹faggot 새끼들	(차단된 문장입니다)	2	5	LGBTQ	[Auto-Refine] 모델 고확합 오답(0.8547)에 따른 라벨 교정	성소수자
소추발작버튼눌렸노 ㅋㅋㅋㅋㅋㅋ	매우 화가 나신 모양이네요.	0	3	GENDER/COMMUNITY	[Auto-Refine] 단순 유행어/일상어 판정으로 NORMAL 복구	남성
네들 야당일때. 그런 소리했어야지. 특히 박영선. 박지원 활약상 잊어버렸나?	당신들이 야당일 때 그런 소리를 했어야 합니다. 특히 특정 정치인들의 과거 행동을 잊었습니까?	2	1	NORMAL	[네들] -> 반말투를 정중하게 순화	악플/욕설
당연하고아니노? 미투 중에서 진실 미투 1% 고 나머지 죄다 거짓미투인데? 당연히 책잡히면 먼일 당할지 모르니까 그럴일을 안만드는거지 아니 미투운동보면 지들이 좆같아서 신고한게 대다수 ㅋ	당연한 일 아닙니까? 미투 운동 중 진실은 극소수이고 나머지는 거짓이라고 생각합니다. 책잡힐 일을 만들지 않는 것이 당연하죠. 미투 운동을 보면 주관적인 불쾌감으로 신고한 경우가 많아 보입니다.	2	2	GENDER	[아니노, 좆같아서] -> 커뮤니티 말투 및 비속어 순화	여성/가족
이런 기사 많이 써주시고 국민들이 동성애의 추악한 실태를 알게 해주세요. 이게 진짜 국민들의 알 권리입니다.	동성애에 관한 사실들을 국민들이 잘 알 수 있게 해주십시오. 이것이 국민의 알 권리입니다.	0	2	LGBTQ	[Auto-Refine] 단순 유행어/일상어 판정으로 NORMAL 복구	성소수자
과연 경향과 한겨례레는 비정규직 없는지 궁금하다. 청소하시는 분들 경비보시는 분들 외주없이 모두 정규직으로 하고 대우도 일반 기자들과 비슷한 수준인지 정말 궁금하가. 누가 이런검 좀 취재안하나?	과연 해당 언론사들에는 비정규직이 없는지 궁금합니다. 청소나 경비 업무를 하시는 분들을 모두 정규직으로 채용하고 기자들과 비슷한 대우를 하는지 취재가 필요해 보이네요.	2	1	NORMAL	[누가 이런검 좀] -> 반말투 및 오타 정제	기타 혐오
일본이 사과하고 경제발전하라고 협조해준 부분을 안 가르쳐서 그래 학교에서 교육을 잘 시켜야하는데	일본이 사과하고 경제 발전에 협조한 부분을 가르치지 않아서 그렇습니다. 학교에서 교육을 제대로 시켜야 합니다.	2	1	NORMAL	[가르쳐서 그래] -> 반말투를 정중하게 순화	clean
주작까네 인증할꺼면 제대로 해라 시발 새우 올리면 끝인가	조작하지 마십시오. 인증을 하려면 제대로 하세요. 정황만 제시하면 끝입니까?	0	3	SLUR	[Auto-Refine] 단순 유행어/일상어 판정으로 NORMAL 복구	악플/욕설
나는 옛날부터 캐나다 국기를 좋아하노 캐나다의 자연풍경을 사랑하고	저는 예전부터 캐나다 국기를 좋아했습니다. 캐나다의 자연 풍경도 사랑하고요.	2	1	COMMUNITY	[좋아하노] -> 의문문이 아닌데 쓰인 방언형 종결어미 순화	clean
자집놈들 댓글 하나하나 읽어보면 논리력 앵나 떨어지고 다 애호박화법이노 후팔 머가리에 좆물만 찻으니 글다운 글이 써지겠노? 자댕이한테 글자교육을 시킨게 잘못이다이기 집구석에 묶어놓고 보빨이나 시켜야한다이니야	(차단된 문장입니다)	1	5	GENDER/COMMUNITY	[자집놈들, 앵나, 후팔, 자댕이] -> 남성에 대한 극단적 혐오 및 공격성으로 차단	남성
폴란드 친구 있는데 하는 말이.. 자기 나라에 이민 올려는 person 아무도 없어서 저러는거 노이해라그럼 ㅋㅋㅋㅋㅋㅋ	폴란드 친구가 말하기를, 자기 나라에 이민 오려는 사람이 아무도 없는데 저러는 것이 이해가 되지 않는다고 합니다.	0	1	RACISM	[Auto-Refine] 단순 유행어/일상어 판정으로 NORMAL 복구	인종/국적
개독 이 씨발년들은 지가 잘못해놓고 엄한데 가서 용서 구하고 있음 ㅋㅋ	개신교인들은 본인이 잘못을 저지르고 엉뚱한 곳에서 용서를 구하네요.	0	3	RELIGION	[Auto-Refine] 단순 유행어/일상어 판정으로 NORMAL 복구	종교
이 여자는 어떻게 알았을까, 그분이 오섰습니다. 피리리~	이 여성은 어떻게 알았을까요? 신내림이라도 받은 모양입니다.	2	1	NORMAL	[오섰습니다] -> 오타 정제 및 반말투 순화	clean
손날좌 ㅜㅇㅜ..	손날좌님, 안타깝네요.	2	1	COMMUNITY	[손날좌] -> 별명을 유지하되 정중하게 표현	clean
누군지 말 안해주는거 보니 7시거나 그짝당이네	누군지 밝히지 않는 것을 보니 특정 지역 출신이거나 그쪽 정당 지지자인 모양이네요.	2	3	REGIONAL	[7시, 그짝] -> 특정 지역(전라도) 비하 은어를 정중하게 순화	지역
굳이 대로를 다 막아놓고 퀴어 축제를 하겠다는 저 사람들이 지하철에서 예수천당 불신지옥을 외치는 종교쟁이와 다를게 뭘까?	굳이 대로를 막고 퀴어 축제를 하는 사람들이 지하철에서 포교 활동을 하는 종교인들과 다를 것이 무엇입니까?	2	2	LGBTQ/RELIGION	[종교쟁이] -> 종교인 비하 표현을 정중하게 순화	성소수자, 종교
여자들은 결혼할때 생얼 보여줘야되는 법 만들어야한다 저게 사기가 아니면 뭐가 사기냐 대체??	여성들은 결혼할 때 민낯을 보여줘야 한다는 법을 만들어야 합니다. 이것이 사기가 아니면 무엇입니까?	2	2	GENDER	[사기냐 대체] -> 공격적인 말투를 정중하게 순화	여성/가족
짱깨에 저런 서비스가 있다고???	중국에 저런 서비스가 있습니까?	2	2	RACISM	[짱깨] -> 국적 비하어를 정당한 표현으로 순화	인종/국적
야 너련 능력자다 저 글 올라온지 을매나 됐다고 벌써 이런 쌉고퀄리티 로고가 나와벌이노 보지들 스피드가 한남 도태하는 스피드 따라잡노 껄껄	(차단된 문장입니다)	1	5	COMMUNITY/GENDER	[너련, 보지들, 한남] -> 특정 커뮤니티 전용 비하어 및 성별 혐오로 차단	남성
하여튼 뚱뚱한애들은 일단 거르고보면 된다	비만한 사람들은 일단 피하는 것이 좋습니다.	2	2	SLUR	[뚱뚱한애들, 거르고보면] -> 외모 비하 및 공격적 표현 순화	기타 혐오
하여간 무슬림이랑 짱깨는 인종청소라는 개념이 왜 있는 것인지 설명해주는 인류말종들	(차단된 문장입니다)	1	5	RACISM	[인종청소, 인류말종] -> 특정 인종/종교에 대한 극단적 혐오 및 살해 정당화로 차단	인종/국적
일반화의 오류를 범하네 개슬람 병신 모자란 알라씨발노무 새끼가 ㅋ	(차단된 문장입니다)	1	5	RELIGION	[개슬람, 알라씨발] -> 종교 및 신에 대한 모욕적 욕설로 차단	종교
씨발 레즈비언축제는 언제여노	레즈비언 축제는 언제 열립니까?	2	2	LGBTQ/SLUR	[씨발, ~노] -> 욕설 및 커뮤니티 말투 순화	성소수자
아직도 플스 없는 찐따들은 뭐임 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	아직도 플레이스테이션이 없는 사람들은 누구입니까?	0	2	SLUR	[Auto-Refine] 단순 유행어/일상어 판정으로 NORMAL 복구	악플/욕설
하 댓글보니 급식충 새끼들이 진짜 노답인걸 보여주네. 자신이 잘못한걸 생각안하고 저딴 개소리 씨부리는거보니 요즘 급식충들이 얼마나 기어오르는지 훤히보인다	댓글을 보니 학생들이 정말 무례하다는 것이 느껴지네요. 자신의 잘못을 반성하지 않고 저런 말을 하는 것을 보니 요즘 학생들이 얼마나 예의가 없는지 알 것 같습니다.	2	2	AGE	[급식충, 새끼들, 개소리] -> 연령 비하어 및 욕설 순화	연령
ㅋㅋㅋㅋㅋㅋㅋㅋ시발역시 미개하네	정말 미개하네요.	0	2	SLUR	[Auto-Refine] 단순 유행어/일상어 판정으로 NORMAL 복구	악플/욕설
ㅂㅈ들 많아졌다 ㅎㄷㄷ	여성들이 많아졌네요. 깜짝 놀랐습니다.	2	3	GENDER	[ㅂㅈ들] -> 여성 성기 비하 초성어를 정중하게 순화	여성/가족
일부러 철자 틀리게 써서 똥양 발음 비웃는 자적자보소 프리즈 뤼브미 어론	일부러 철자를 틀리게 써서 동양인의 발음을 비웃는 남성들의 질투가 대단하네요.	2	2	RACISM/GENDER	[똥양, 자적자] -> 동양인 비하 및 커뮤니티 남성 혐오어 순화	남성
소비자가 좆같아서 불매하겠다는대 그게 왜 정상적인불매운동이 아니냐? 정신나갔노?	소비자가 불쾌해서 불매하겠다는데 그것이 왜 정상적인 불매운동이 아닙니까? 제정신입니까?	2	3	SLUR/COMMUNITY	[좆같아서, ~노] -> 욕설 및 커뮤니티 말투 순화	악플/욕설
머구 미개인증;	대구 사람들이 미개하다는 것을 증명하네요.	2	3	REGIONAL	[머구] -> 특정 지역 비하 은어를 정당한 명칭으로 순화	지역
재기하면 웜년들이 매년 제사도 지내주고 분신사바도 해주고 라면도 사주고 복숭아도 사주고 유튜브에서 특집방송도 매년 해줄텐데...	(차단된 문장입니다)	1	5	COMMUNITY	[재기하면, 웜년들] -> 특정 인물의 자살을 희화화한 용어 및 커뮤니티 혐오어로 차단	악플/욕설
지겨워 죽겠다 씨발	정말 지겹습니다.	2	2	SLUR	[씨발] -> 욕설 제거	악플/욕설
남혐을 하는 이유도 결국 소위 남자처럼 살고싶어서 그런거노. 남자처럼 편하게 살고싶은데 여자로 키워졌으니까 부럽고 밉고 그래서. 남혐을 하는 애들이 그냥 보통 여자들보다 훨씬 더 소위 남성에 가깝노.	남성 혐오를 하는 이유도 결국 남성처럼 살고 싶어서 그런 것 아닙니까? 남성처럼 편하게 살고 싶은데 여성으로 성장했으니 부럽고 미운 것이겠죠. 남성 혐오를 하는 사람들이 일반적인 여성들보다 오히려 남성에 더 가깝습니다.	2	2	GENDER	[~노] -> 커뮤니티 말투 순화	여성/가족
축구니깐 웃으면서 이야기하지. 저 새끼들 전쟁나도 중국편이야 ㅋ	축구니까 웃으며 말하지만, 저 사람들은 전쟁이 나도 중국 편을 들 것입니다.	2	2	RACISM	[새끼들] -> 비하어를 정중하게 순화	인종/국적
자적자로 자지 자멸시키고 보지 국회의원 6969명 양산하는게 목표노 보지란 보지는 싹다 당선시켜서 보지가 표가된다는걸 알려야하노	(차단된 문장입니다)	1	5	COMMUNITY/GENDER	[자적자, 자지, 보지] -> 극단적 성별 혐오 및 성기 멸칭 사용으로 차단	남성
근데 탈북하면 남아있는 탈북자 가족은 다 사형아니냐?	그런데 탈북을 하면 북한에 남은 가족들은 모두 처형당하는 것 아닙니까?	1	0	NORMAL	[Auto-Refine] 신체 위협 및 폭력 표현 포함으로 BLOCK으로 격상	clean
천주교부터 다 학살하자	(차단된 문장입니다)	1	5	RELIGION	[학살하자] -> 특정 종교 집단에 대한 살인 선동으로 차단	종교
손날좌 근황 알고싶다ㅋㅋㅋㅋ	손날좌님의 근황이 궁금하네요.	0	1	COMMUNITY	[Auto-Refine] 단순 유행어/일상어 판정으로 NORMAL 복구	clean
경상도 애들이 제일 호구인듯 ㅋㅋ	경상도 사람들이 가장 이용당하기 쉬운 것 같습니다.	0	3	REGIONAL	[Auto-Refine] 단순 유행어/일상어 판정으로 NORMAL 복구	지역
그냥 멀정하게 하면 될걸 똥꼬팬티랑 병신코스프레땜시 똥망	그냥 평범하게 하면 될 것을, 부적절한 노출과 이상한 모습 때문에 망했네요.	2	3	LGBTQ/SLUR	[똥꼬팬티, 병신코스프레] -> 성적 비하 및 장애인 비하 표현 순화	성소수자
진심 한남들 심각하게 운동안하노 진짜 근육있는 새낄 제대로 못봤노 그나마 예전엔(원빈 똥방신끼 세대) 남배우 좆돌 안가리고 초콜릿 복근 식스팩 뭐뭐 열풍이기까진 했는데 요샌 무작정 착즙의 향연에 평균수준이 갈수록 더 구려지는거 같노 도태각이 몹시 날카롭다 이기	(차단된 문장입니다)	1	5	GENDER/COMMUNITY	[한남, 좆돌, 도태각, 이기] -> 남성에 대한 극단적 비하 및 혐오 표현으로 차단	남성
외국인들에게 퍼주는 수준=무현머중정부시절 정일이한테 무료로 쌀퍼주고 돈퍼줬던 수준	외국인들에게 퍼주는 수준이 과거 정부 시절 북한에 무상으로 쌀과 돈을 주던 수준과 같네요.	2	2	RACISM	[무현머중, 정일이] -> 전임 대통령 및 북한 지도자에 대한 멸칭/희화화 순화	인종/국적
와...어떻게 기본이상되는 대학이 하나도없냐	와, 어떻게 기준 이상의 대학이 하나도 없습니까?	2	1	SLUR	[하나도없냐] -> 반말투 순화	악플/욕설
니들 또 빤스만 입고 나올거냐??	여러분, 또 속옷차림으로 나올 것입니까?	2	2	SLUR	[빤스, 니들] -> 비속어 및 반말투 순화	악플/욕설
자기합리화봐라 ㅋㅋㅋㅋㅋ수능에서만 최상위권이지 머가리 안목 좁은건 어쩔수 없다 아니 페북 대신 전해드립니다니 설대생이 아닐수도 있겠네아동성애가 현대 성인에겐 정신병이지 뭐냐...	자기합리화가 심하네요. 수능 성적만 좋을 뿐이지 안목이 좁은 것은 어쩔 수 없나 봅니다. 서울대생이 아닐 수도 있겠고요. 아동을 대상으로 한 성적 욕구는 정신적인 질환일 뿐입니다.	0	3	LGBTQ/SLUR	[Auto-Refine] 단순 유행어/일상어 판정으로 NORMAL 복구	성소수자
팩폭 ㅋㅋ	사실을 정확히 지적하시네요.	0	1	SLUR	[Auto-Refine] 단순 유행어/일상어 판정으로 NORMAL 복구	악플/욕설
인도 좆미개한데유명인들 어케 나오는거냐	인도는 매우 미개한데 유명인들은 어떻게 배출되는 것입니까?	2	3	RACISM	[좆미개] -> 욕설 섞인 비하 표현 순화	인종/국적
ㅋㅋ 문재인개새끼는 중국에 붙을껀데 삼성도 망하고 기술 다 중국에 뺏길일만 남았구나아무리 조선이 지금 병신들 천지라도 국민들 대다수는 중국조까고 미국편들라는데	문재인 전 대통령이 중국 편을 들면서 삼성도 망하고 기술도 모두 빼앗길 것 같네요. 아무리 우리나라에 부적절한 사람들이 많아도 국민 대다수는 중국보다는 미국 편을 들어야 한다고 생각합니다.	0	3	RACISM	[Auto-Refine] 단순 유행어/일상어 판정으로 NORMAL 복구	인종/국적
댓글 열심히 달고다니던데 쟤 앱창인생 어떡하냐	댓글을 열심히 달고 다니던데, 저 사람의 한심한 인생은 어떡합니까?	2	3	SLUR	[앱창인생] -> 부모 비하가 포함된 저질 비하어 순화	악플/욕설
ㅎㅎㅎㅎㅎ오윾남 니 주변 다 웜련~~~ 지가 마치 여자를 만날 수 있는 줄 착각하는 한남충 독백글 잘봤노	(차단된 문장입니다)	2	5	COMMUNITY/GENDER	[Auto-Refine] 모델 고확합 오답(0.8763)에 따른 라벨 교정	남성
범죄비율 = 가해의도를 품은 비율 띵문이노	범죄 비율은 가해 의도를 품은 비율이라는 말이 참으로 훌륭한 문장이네요.	2	2	COMMUNITY	[띵문, ~노] -> 커뮤니티 용어 및 말투 순화	clean
딱 일베노	전형적인 특정 커뮤니티 말투네요.	2	2	COMMUNITY	[딱, ~노] -> 커뮤니티 전용 부사 및 말투 순화	clean
외국나가서 젤 조심해야할것은 한국인...	외국에 나가서 가장 조심해야 할 사람은 한국인입니다.	2	1	RACISM	[젤] -> 줄임말을 표준어로 정제	인종/국적
갈색되는 거 아니냐? 더러워 보일듯...	갈색으로 변하는 것 아닙니까? 지저분해 보일 것 같습니다.	2	1	SLUR	[아니냐, 보일듯] -> 반말투를 정중하게 순화	clean
페이지뷰가 많아야 광고가 발생하고 서버유지가 가능한거지.. 성인인증하면 급식충만 안올까?	페이지 뷰가 많아야 광고 수익이 생기고 서버 유지가 가능한 법입니다. 성인 인증을 한다고 해서 학생들만 오지 않을까요?	2	1	AGE	[급식충, 가능한거지] -> 연령 비하어 및 반말투 순화	연령
ㄹㅇ 한남틀딱이 딸 냄편으로 한남보다 대만계를 더 좋아한다고 한 뉴스도 있었노	(차단된 문장입니다)	1	5	GENDER/AGE/COMMUNITY	[한남틀딱, ~노] -> 남성 및 노인에 대한 복합적 비하와 혐오로 차단	남성, 연령
이 분 개쌍도쌍도 까면 홍어인데, 홍어 까는 건 쌍도가 아닐 수도 있음기적의 쌍도논리 ㄷㄷ	(차단된 문장입니다)	2	5	REGIONAL	[Auto-Refine] 모델 고확합 오답(0.8561)에 따른 라벨 교정	지역
저 유충들 커봐야 지금40대 개좆같은병신될꺼 뻔하노	(차단된 문장입니다)	1	5	AGE/COMMUNITY	[유충들, 개좆같은병신, ~노] -> 어린이에 대한 혐오 명칭 및 극단적 욕설로 차단	연령
존나오래걸리네 씨발 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	매우 오래 걸리네요. 정말이지 답답합니다.	0	2	SLUR	[Auto-Refine] 단순 유행어/일상어 판정으로 NORMAL 복구	악플/욕설
아 시발 못봐서 존나 궁금하네. 혹시 이름 ㅇㄱㅁ 임? 그거 맞으면 옛날여자친구인데 썰 존나 풀수잇음	아, 보지 못해서 정말 궁금하네요. 혹시 이름이 ㅇㄱㅁ 입니까? 맞다면 예전 여자친구인데 이야기를 많이 해줄 수 있습니다.	2	2	SLUR	[시발, 존나, 썰] -> 욕설 및 비속어 순화	악플/욕설
일뽕사망wwwwww	일본 광신도들은 사라지십시오.	2	2	RACISM/COMMUNITY	[일뽕, wwww] -> 특정 집단 비칭 및 인터넷 비웃음 표현 순화	악플/욕설
난 가끔 본의아니게 어깨빵을 하는데 MP3 곡 찾는거때문에 MP3 들여다보고 걸으면 어깨빵 몇번씩 한다.	저는 가끔 의도치 않게 타인과 어깨가 부딪히곤 합니다. MP3 플레이어의 곡을 찾느라 기기를 들여다보며 걷다 보니 그런 일이 생기네요.	2	1	NORMAL	[어깨빵] -> 공격적 은어를 정중한 표현으로 순화	clean
애국자네 애국자저분 덕분에 틀딱들 숫자 좀 줄어들듯 ㅇㅇ	애국자시네요. 저분 덕분에 노인분들의 숫자가 조금 줄어들 것 같습니다.	2	3	AGE	[틀딱들] -> 연령 비하어를 정당한 표현으로 순화하되, 문맥상 혐오 뉘앙스 잔존하여 Action 2	연령
고소각좀 잘재라 게이들아 왜이리 고소를 많이 당하노 ㅠㅠ	법적 책임을 지지 않도록 조심하십시오. 여러분, 왜 이렇게 고소를 많이 당하나요?	2	2	COMMUNITY	[고소각, 게이들아, ~노] -> 커뮤니티 은어 및 말투 순화	clean
아무리 온건한 무슬림이라도 극단주의 이슬람이 등장하면 저항하지 않고 동조하는 경향이 있다는게 문제지 점차적으로 극단주의로 물들어갈 가능성도 배제할수 없고 걍 답이 없음	아무리 온건한 이슬람교도라도 극단주의 세력이 등장하면 저항하지 못하고 동조하는 경향이 있는 것이 문제입니다. 점차 극단적으로 변할 가능성도 있고 해결책이 없어 보입니다.	2	2	RELIGION	[무슬림, 걍 답이 없음] -> 종교 명칭을 정중하게 하고 비속어 섞인 표현 순화	인종/국적, 종교
저런 좃병신 새끼들은 어디가면 보냐?아직 내 주위에선 못봐서 궁금하다이기	(차단된 문장입니다)	2	5	COMMUNITY/SLUR	[Auto-Refine] 모델 고확합 오답(0.8585)에 따른 라벨 교정	악플/욕설
못배운 상태에서 뭔가를 비판하려 하지마라	지식이 부족한 상태에서 비판하려 하지 마십시오.	2	1	SLUR	[하지마라] -> 명령조를 정중하게 순화	악플/욕설
난 쪽팔려서라도 저런 새끼들하고 같은거 못 믿겠구만 기독교 신자들 대단하네.	저는 부끄러워서라도 저런 사람들과 같은 것을 믿지 못할 것 같은데, 기독교 신자들은 정말 대단하군요.	2	2	RELIGION	[쪽팔려서, 새끼들] -> 비속어 및 비하어 순화	종교
싫으면 안 하면 되는데 꼭 자기 편한대로만 하려고 하네	싫으면 하지 않으면 될 텐데, 꼭 본인이 편한 방식대로만 하려고 하네요.	2	1	NORMAL	[하네] -> 반말투를 정중하게 순화	악플/욕설
없던혐오도 생김	없던 혐오감도 생기네요.	2	1	SLUR	[혐오도 생김] -> 반말형을 정중한 문장으로 순화	악플/욕설
저것들이 인간인가?	저 사람들이 정말 인간입니까?	2	2	SLUR	[저것들] -> 비하적 지칭을 정중하게 순화	악플/욕설
남자는 채용 조건에 병역필 이거나 면제 라고 적혀있는데 이것도 차별아닌가요???	남성은 채용 조건에 병역 필 또는 면제라고 명시되어 있는데, 이것 역시 차별 아님니까?	0	0	NORMAL	[무해] -> 채용 조건에 대한 사회적 의문 제기	clean
